Year,Category,Month,Index_Value,Quarter,Hierarchy_Level,Economic_Period,Is_Tet_Month,Inflation_Status,Season,Category_Group
2024,Chỉ số giá tiêu dùng,1,100.31,1,Total CPI,Recovery,True,Stable,Winter/Tet,General/Housing
2024,Hàng ăn và dịch vụ ăn uống,1,100.21,1,Main Category,Recovery,True,Stable,Winter/Tet,Food & Beverage
2024,Lương thực,1,101.74,1,Sub-category,Recovery,True,High Inflation,Winter/Tet,Food & Beverage
2024,Thực phẩm,1,99.91,1,Sub-category,Recovery,True,Deflation,Winter/Tet,Food & Beverage
2024,Ăn uống ngoài gia đình,1,100.3,1,Sub-category,Recovery,True,Stable,Winter/Tet,General/Housing
2024,Đồ uống và thuốc lá,1,100.38,1,Main Category,Recovery,True,Stable,Winter/Tet,General/Housing
2024,"May mặc, mũ nón, giày dép",1,100.22,1,Main Category,Recovery,True,Stable,Winter/Tet,General/Housing
2024,Nhà ở và vật liệu xây dựng,1,100.56,1,Main Category,Recovery,True,Stable,Winter/Tet,General/Housing
2024,Thiết bị và đồ dùng gia đình,1,100.14,1,Main Category,Recovery,True,Stable,Winter/Tet,General/Housing
2024,Thuốc và dịch vụ y tế,1,101.02,1,Main Category,Recovery,True,High Inflation,Winter/Tet,Healthcare
2024,Trong đó: Dịch vụ y tế,1,101.31,1,Sub-category,Recovery,True,High Inflation,Winter/Tet,Healthcare
2024,Giao thông,1,100.41,1,Main Category,Recovery,True,Stable,Winter/Tet,Transport
2024,Bưu chính viễn thông,1,99.95,1,Main Category,Recovery,True,Deflation,Winter/Tet,General/Housing
2024,Giáo dục,1,99.88,1,Main Category,Recovery,True,Deflation,Winter/Tet,Education
2024,Trong đó: Dịch vụ giáo dục,1,99.85,1,Sub-category,Recovery,True,Deflation,Winter/Tet,General/Housing
2024,"Văn hóa, giải trí và du lịch",1,100.11,1,Main Category,Recovery,True,Stable,Winter/Tet,General/Housing
2024,Hàng hoá và dịch vụ khác,1,100.4,1,Main Category,Recovery,True,Stable,Winter/Tet,General/Housing
2024,Chỉ số giá vàng,1,102.55,1,Main Category,Recovery,True,High Inflation,Winter/Tet,Financial/Other
2024,Chỉ số đô la Mỹ,1,100.52,1,Main Category,Recovery,True,Stable,Winter/Tet,Financial/Other
2023,Chỉ số giá tiêu dùng,1,100.52,1,Total CPI,Recovery,True,Stable,Winter/Tet,General/Housing
2023,Hàng ăn và dịch vụ ăn uống,1,100.82,1,Main Category,Recovery,True,Stable,Winter/Tet,Food & Beverage
2023,Lương thực,1,100.89,1,Sub-category,Recovery,True,Stable,Winter/Tet,Food & Beverage
2023,Thực phẩm,1,100.95,1,Sub-category,Recovery,True,Stable,Winter/Tet,Food & Beverage
2023,Ăn uống ngoài gia đình,1,100.46,1,Sub-category,Recovery,True,Stable,Winter/Tet,General/Housing
2023,Đồ uống và thuốc lá,1,101.12,1,Main Category,Recovery,True,High Inflation,Winter/Tet,General/Housing
2023,"May mặc, mũ nón, giày dép",1,100.62,1,Main Category,Recovery,True,Stable,Winter/Tet,General/Housing
2023,Nhà ở và vật liệu xây dựng,1,99.88,1,Main Category,Recovery,True,Deflation,Winter/Tet,General/Housing
2023,Thiết bị và đồ dùng gia đình,1,100.36,1,Main Category,Recovery,True,Stable,Winter/Tet,General/Housing
2023,Thuốc và dịch vụ y tế,1,100.07,1,Main Category,Recovery,True,Stable,Winter/Tet,Healthcare
2023,Trong đó: Dịch vụ y tế,1,100.01,1,Sub-category,Recovery,True,Stable,Winter/Tet,Healthcare
2023,Giao thông,1,101.39,1,Main Category,Recovery,True,High Inflation,Winter/Tet,Transport
2023,Bưu chính viễn thông,1,100.0,1,Main Category,Recovery,True,Stable,Winter/Tet,General/Housing
2023,Giáo dục,1,99.85,1,Main Category,Recovery,True,Deflation,Winter/Tet,Education
2023,Trong đó: Dịch vụ giáo dục,1,99.8,1,Sub-category,Recovery,True,Deflation,Winter/Tet,General/Housing
2023,"Văn hóa, giải trí và du lịch",1,100.42,1,Main Category,Recovery,True,Stable,Winter/Tet,General/Housing
2023,Hàng hoá và dịch vụ khác,1,100.7,1,Main Category,Recovery,True,Stable,Winter/Tet,General/Housing
