Năm,Tháng,Quốc gia/Khu vực,Lượng khách
2018,1,Châu Á,1046741.0
2018,1,Châu Mỹ,97666.0
2018,1,Châu Âu,225521.0
2018,1,Châu Úc,55302.0
2018,1,Châu Phi,5012.0
2018,1,Ba Lan,
2018,1,Bỉ,2580.0
2018,1,Campuchia,24606.0
2018,1,Canada,16340.0
2018,1,Các thị trường khác thuộc châu Mỹ,8688.0
2018,1,Các thị trường khác thuộc châu Phi,5012.0
2018,1,Các thị trường khác thuộc châu Á,16523.0
2018,1,Các thị trường khác thuộc châu Âu,25130.0
2018,1,Các thị trường khác thuộc châu Úc,141.0
2018,1,Hoa Kỳ,72638.0
2018,1,Hà Lan,7014.0
2018,1,Hàn Quốc,316314.0
2018,1,Hồng Kông,5575.0
2018,1,Indonesia,8264.0
2018,1,Lào,9303.0
2018,1,Malaysia,44003.0
2018,1,Na Uy,2748.0
2018,1,New Zealand,5038.0
2018,1,Nga,74332.0
2018,1,Nhật Bản,71832.0
2018,1,Philippines,13137.0
2018,1,Pháp,26657.0
2018,1,Phần Lan,5266.0
2018,1,Singapore,25811.0
2018,1,Thái Lan,32287.0
2018,1,Thụy sĩ,4215.0
2018,1,Thụy Điển,10598.0
2018,1,Trung Quốc,418493.0
2018,1,Tây Ban Nha,4376.0
2018,1,Vương quốc Anh,28449.0
2018,1,Úc,50123.0
2018,1,Ý,8414.0
2018,1,Đan mạch,4705.0
2018,1,Đài Loan,48542.0
2018,1,Đức,21037.0
2018,1,Ấn Độ,12051.0
2018,2,Châu Á,1076469.0
2018,2,Châu Mỹ,101764.0
2018,2,Châu Âu,215809.0
2018,2,Châu Úc,34950.0
2018,2,Châu Phi,2853.0
2018,2,Ba Lan,
2018,2,Bỉ,2554.0
2018,2,Campuchia,21101.0
2018,2,Canada,19207.0
2018,2,Các thị trường khác thuộc châu Mỹ,7389.0
2018,2,Các thị trường khác thuộc châu Phi,2853.0
2018,2,Các thị trường khác thuộc châu Á,12621.0
2018,2,Các thị trường khác thuộc châu Âu,26549.0
2018,2,Các thị trường khác thuộc châu Úc,96.0
2018,2,Hoa Kỳ,75168.0
2018,2,Hà Lan,6531.0
2018,2,Hàn Quốc,303391.0
2018,2,Hồng Kông,3712.0
2018,2,Indonesia,5863.0
2018,2,Lào,8826.0
2018,2,Malaysia,42947.0
2018,2,Na Uy,3346.0
2018,2,New Zealand,2643.0
2018,2,Nga,66766.0
2018,2,Nhật Bản,65865.0
2018,2,Philippines,10113.0
2018,2,Pháp,27040.0
2018,2,Phần Lan,3766.0
2018,2,Singapore,19736.0
2018,2,Thái Lan,26134.0
2018,2,Thụy sĩ,3409.0
2018,2,Thụy Điển,8879.0
2018,2,Trung Quốc,483319.0
2018,2,Tây Ban Nha,3550.0
2018,2,Vương quốc Anh,28505.0
2018,2,Úc,32211.0
2018,2,Ý,6319.0
2018,2,Đan mạch,5830.0
2018,2,Đài Loan,62966.0
2018,2,Đức,22765.0
2018,2,Ấn Độ,9875.0
