Năm,Tháng,Nhóm hàng,Chỉ số tiêu dùng
2002,1,Bưu chính viễn thông,
2002,1,Chỉ số giá tiêu dùng,101.10
2002,1,Chỉ số giá vàng,101.50
2002,1,Chỉ số đô la Mỹ,100.10
2002,1,Giao thông,
2002,1,Giáo dục,100.00
2002,1,Hàng hoá và dịch vụ khác,100.90
2002,1,Hàng ăn và dịch vụ ăn uống,101.90
2002,1,Lương thực,104.00
2002,1,"May mặc, mũ nón, giày dép",100.60
2002,1,Nhà ở và vật liệu xây dựng,100.00
2002,1,"Phương tiện đi lại, bưu điện",100.10
2002,1,Thiết bị và đồ dùng gia đình,100.40
2002,1,Thuốc và dịch vụ y tế,100.20
2002,1,Thực phẩm,101.10
2002,1,Trong đó: Dịch vụ giáo dục,
2002,1,Trong đó: Dịch vụ y tế,
2002,1,"Văn hóa, giải trí và du lịch",100.20
2002,1,Ăn uống ngoài gia đình,
2002,1,Đồ uống và thuốc lá,100.40
2002,2,Bưu chính viễn thông,
2002,2,Chỉ số giá tiêu dùng,102.20
2002,2,Chỉ số giá vàng,101.50
2002,2,Chỉ số đô la Mỹ,100.20
2002,2,Giao thông,
2002,2,Giáo dục,100.20
2002,2,Hàng hoá và dịch vụ khác,101.30
2002,2,Hàng ăn và dịch vụ ăn uống,104.00
2002,2,Lương thực,102.70
2002,2,"May mặc, mũ nón, giày dép",100.50
2002,2,Nhà ở và vật liệu xây dựng,100.20
2002,2,"Phương tiện đi lại, bưu điện",101.00
2002,2,Thiết bị và đồ dùng gia đình,100.30
2002,2,Thuốc và dịch vụ y tế,100.10
2002,2,Thực phẩm,104.60
2002,2,Trong đó: Dịch vụ giáo dục,
2002,2,Trong đó: Dịch vụ y tế,
2002,2,"Văn hóa, giải trí và du lịch",101.40
2002,2,Ăn uống ngoài gia đình,
2002,2,Đồ uống và thuốc lá,101.40
2002,3,Bưu chính viễn thông,
2002,3,Chỉ số giá tiêu dùng,99.20
2002,3,Chỉ số giá vàng,101.80
2002,3,Chỉ số đô la Mỹ,100.20
2002,3,Giao thông,
2002,3,Giáo dục,98.80
2002,3,Hàng hoá và dịch vụ khác,99.00
2002,3,Hàng ăn và dịch vụ ăn uống,98.90
2002,3,Lương thực,98.90
2002,3,"May mặc, mũ nón, giày dép",99.70
2002,3,Nhà ở và vật liệu xây dựng,99.80
2002,3,"Phương tiện đi lại, bưu điện",99.10
2002,3,Thiết bị và đồ dùng gia đình,99.70
2002,3,Thuốc và dịch vụ y tế,99.90
2002,3,Thực phẩm,99.30
2002,3,Trong đó: Dịch vụ giáo dục,
2002,3,Trong đó: Dịch vụ y tế,
2002,3,"Văn hóa, giải trí và du lịch",98.80
2002,3,Ăn uống ngoài gia đình,
2002,3,Đồ uống và thuốc lá,99.20
2002,4,Bưu chính viễn thông,
2002,4,Chỉ số giá tiêu dùng,100.00
2002,4,Chỉ số giá vàng,103.70
2002,4,Chỉ số đô la Mỹ,100.30
2002,4,Giao thông,
2002,4,Giáo dục,100.00
2002,4,Hàng hoá và dịch vụ khác,99.90
2002,4,Hàng ăn và dịch vụ ăn uống,100.00
2002,4,Lương thực,98.20
2002,4,"May mặc, mũ nón, giày dép",99.90
2002,4,Nhà ở và vật liệu xây dựng,99.90
2002,4,"Phương tiện đi lại, bưu điện",99.90
2002,4,Thiết bị và đồ dùng gia đình,100.10
2002,4,Thuốc và dịch vụ y tế,100.00
2002,4,Thực phẩm,100.80
2002,4,Trong đó: Dịch vụ giáo dục,
2002,4,Trong đó: Dịch vụ y tế,
2002,4,"Văn hóa, giải trí và du lịch",99.50
2002,4,Ăn uống ngoài gia đình,
2002,4,Đồ uống và thuốc lá,99.80
2002,5,Bưu chính viễn thông,
2002,5,Chỉ số giá tiêu dùng,100.30
2002,5,Chỉ số giá vàng,102.60
2002,5,Chỉ số đô la Mỹ,100.20
2002,5,Giao thông,
2002,5,Giáo dục,99.90
2002,5,Hàng hoá và dịch vụ khác,99.80
2002,5,Hàng ăn và dịch vụ ăn uống,100.70
2002,5,Lương thực,99.50
2002,5,"May mặc, mũ nón, giày dép",99.80
2002,5,Nhà ở và vật liệu xây dựng,100.30
2002,5,"Phương tiện đi lại, bưu điện",99.90
2002,5,Thiết bị và đồ dùng gia đình,100.00
2002,5,Thuốc và dịch vụ y tế,100.20
2002,5,Thực phẩm,101.30
2002,5,Trong đó: Dịch vụ giáo dục,
2002,5,Trong đó: Dịch vụ y tế,
2002,5,"Văn hóa, giải trí và du lịch",99.80
2002,5,Ăn uống ngoài gia đình,
2002,5,Đồ uống và thuốc lá,100.40
2002,6,Bưu chính viễn thông,
2002,6,Chỉ số giá tiêu dùng,100.10
2002,6,Chỉ số giá vàng,103.90
2002,6,Chỉ số đô la Mỹ,100.30
2002,6,Giao thông,
2002,6,Giáo dục,100.30
2002,6,Hàng hoá và dịch vụ khác,100.00
2002,6,Hàng ăn và dịch vụ ăn uống,100.20
2002,6,Lương thực,97.50
2002,6,"May mặc, mũ nón, giày dép",100.00
2002,6,Nhà ở và vật liệu xây dựng,100.50
2002,6,"Phương tiện đi lại, bưu điện",100.00
2002,6,Thiết bị và đồ dùng gia đình,100.00
2002,6,Thuốc và dịch vụ y tế,100.00
2002,6,Thực phẩm,101.40
2002,6,Trong đó: Dịch vụ giáo dục,
2002,6,Trong đó: Dịch vụ y tế,
2002,6,"Văn hóa, giải trí và du lịch",100.00
2002,6,Ăn uống ngoài gia đình,
2002,6,Đồ uống và thuốc lá,100.10
2002,7,Bưu chính viễn thông,
2002,7,Chỉ số giá tiêu dùng,99.90
2002,7,Chỉ số giá vàng,99.80
2002,7,Chỉ số đô la Mỹ,100.10
2002,7,Giao thông,
2002,7,Giáo dục,100.80
2002,7,Hàng hoá và dịch vụ khác,99.70
2002,7,Hàng ăn và dịch vụ ăn uống,99.60
2002,7,Lương thực,98.60
2002,7,"May mặc, mũ nón, giày dép",99.90
2002,7,Nhà ở và vật liệu xây dựng,100.20
2002,7,"Phương tiện đi lại, bưu điện",100.00
2002,7,Thiết bị và đồ dùng gia đình,100.00
2002,7,Thuốc và dịch vụ y tế,100.10
2002,7,Thực phẩm,100.10
2002,7,Trong đó: Dịch vụ giáo dục,
2002,7,Trong đó: Dịch vụ y tế,
2002,7,"Văn hóa, giải trí và du lịch",99.00
2002,7,Ăn uống ngoài gia đình,
2002,7,Đồ uống và thuốc lá,100.20
2002,8,Bưu chính viễn thông,
2002,8,Chỉ số giá tiêu dùng,100.10
2002,8,Chỉ số giá vàng,99.80
2002,8,Chỉ số đô la Mỹ,100.20
2002,8,Giao thông,
2002,8,Giáo dục,99.40
2002,8,Hàng hoá và dịch vụ khác,100.30
2002,8,Hàng ăn và dịch vụ ăn uống,100.00
2002,8,Lương thực,99.90
2002,8,"May mặc, mũ nón, giày dép",100.10
