Năm,Tháng,Ngày,[gold] Giá mở phiên,[gold] Giá cao nhất trong phiên,[gold] Giá thấp nhất trong phiên,[gold] Giá kết phiên,[gold] Volume,[VNI] Giá mở phiên trước,[VNI] Giá mở phiên,[VNI] Giá cao nhất trong phiên,[VNI] Giá thấp nhất trong phiên,[VNI] Volume,[VNI] % Thay đổi,[USD] Giá mở phiên trước,[USD] Giá mở phiên,[USD] Giá cao nhất trong phiên,[USD] Giá thấp nhất trong phiên,[USD] Volume,[USD] % Thay đổi,"Dầu DO 0,001S-V","Dầu DO 0,005S-IV","Dầu DO 0,05S-II",Dầu FO 3%S,"Dầu FO 3,5%S",Dầu KO,Xăng E10 RON 95-III,Xăng E5 RON 92-II,Xăng RON 95-III,Xăng RON 95-IV
2025,12,31,4339.48,4373.65,4274.25,4318.36,1239908.0,"1,784.49","1,766.90","1,787.75","1,755.58",592.84M,1.00%,"26,300.0","26,270.5","26,327.0","26,260.0",,0.13%,17950.0,,17250.0,,,17690.0,18800.0,18430.0,18910.0,
2025,12,30,4332.61,4404.23,4322.96,4338.17,1401078.0,"1,766.90","1,754.84","1,766.90","1,740.07",554.60M,0.69%,"26,265.0","26,287.0","26,301.0","26,239.0",,-0.08%,,,,,,,,,,
2025,12,29,4538.0,4549.8,4301.3,4331.71,1087202.0,"1,754.84","1,729.80","1,754.84","1,729.80",513.33M,1.45%,"26,285.0","26,289.5","26,311.0","26,261.5",,-0.02%,,,,,,,,,,
2025,12,26,4505.51,4550.16,4483.01,4531.17,700640.0,"1,729.80","1,742.85","1,742.85","1,687.14",920.35M,-0.75%,"26,291.0","26,284.5","26,320.0","26,260.0",,0.04%,,,,,,,,,,
2025,12,25,,,,,,"1,742.85","1,782.82","1,805.93","1,742.85",633.31M,-2.24%,"26,280.0","26,289.5","26,318.5","26,255.0",,-0.15%,17750.0,,17250.0,,,17700.0,18870.0,18710.0,19000.0,
2025,12,24,4484.7,4525.96,4448.38,4479.22,892249.0,"1,782.82","1,772.15","1,792.21","1,753.65",685.90M,0.60%,"26,320.0","26,339.5","26,352.5","26,288.0",,-0.04%,,,,,,,,,,
2025,12,23,4446.92,4500.05,4430.63,4485.97,1199792.0,"1,772.15","1,751.03","1,778.18","1,751.03",732.38M,1.21%,"26,331.0","26,334.5","26,356.0","26,320.0",,-0.03%,,,,,,,,,,
2025,12,22,4340.05,4449.24,4337.88,4443.03,701691.0,"1,751.03","1,704.31","1,751.03","1,704.31",755.37M,2.74%,"26,340.0","26,316.0","26,365.0","26,291.5",,0.10%,,,,,,,,,,
2025,12,19,4332.83,4356.6,4308.81,4338.63,939798.0,"1,704.31","1,676.98","1,705.76","1,676.98",660.58M,1.63%,"26,312.5","26,334.5","26,344.0","26,288.0",,-0.05%,,,,,,,,,,
2025,12,18,4339.32,4374.45,4308.64,4330.88,1264198.0,"1,676.98","1,673.66","1,677.24","1,665.21",490.17M,0.20%,"26,325.0","26,335.0","26,352.5","26,310.0",,-0.04%,18000.0,,17470.0,,,17930.0,19410.0,19230.0,19620.0,
2025,12,17,4303.1,4349.04,4301.46,4338.0,982753.0,"1,673.66","1,679.18","1,689.53","1,649.51",495.75M,-0.33%,"26,335.0","26,344.5","26,369.0","26,305.0",,-0.04%,,,,,,,,,,
2025,12,16,4306.09,4335.08,4271.85,4301.53,1133934.0,"1,679.18","1,646.01","1,689.07","1,629.37",751.64M,2.02%,"26,345.0","26,322.5","26,361.5","26,281.0",,0.09%,,,,,,,,,,
2025,12,15,4300.31,4350.24,4285.33,4304.72,974288.0,"1,646.01","1,646.89","1,665.65","1,635.91",599.60M,-0.05%,"26,320.0","26,270.0","26,335.0","26,269.0",,0.05%,,,,,,,,,,
2025,12,12,4280.35,4353.71,4256.93,4298.8,1228795.0,"1,646.89","1,698.90","1,704.03","1,635.95",830.67M,-3.06%,"26,306.0","26,314.5","26,372.0","26,270.0",,-0.08%,,,,,,,,,,
2025,12,11,4225.83,4286.0,4204.19,4280.63,798412.0,"1,698.90","1,718.98","1,718.98","1,690.40",497.31M,-1.17%,"26,327.5","26,354.5","26,370.5","26,315.0",,-0.11%,18710.0,,18150.0,,,18640.0,19820.0,19610.0,20080.0,
