Mặt hàng,Tháng,Năm,Lượng,Trị Giá
Thủy sản,1,2017,,96754.37
Thủy sản,2,2017,,106199.1
Thủy sản,3,2017,,116374.63
Thủy sản,4,2017,,101585.06
Thủy sản,5,2017,,102268.91
Thủy sản,6,2017,,126928.63
Thủy sản,7,2017,,119956.59
Thủy sản,8,2017,,145036.36
Thủy sản,9,2017,,122280.4
Thủy sản,10,2017,,115486.37
Thủy sản,11,2017,,146098.88
Thủy sản,12,2017,,141560.19
Sữa và sản phẩm sữa,1,2017,,78648.46
Sữa và sản phẩm sữa,2,2017,,81039.02
Sữa và sản phẩm sữa,3,2017,,68880.37
Sữa và sản phẩm sữa,4,2017,,77000.0
Sữa và sản phẩm sữa,5,2017,,78898.15
Sữa và sản phẩm sữa,6,2017,,88834.02
Sữa và sản phẩm sữa,7,2017,,81778.3
Sữa và sản phẩm sữa,8,2017,,94235.67
Sữa và sản phẩm sữa,9,2017,,78000.0
Sữa và sản phẩm sữa,10,2017,,78000.0
Sữa và sản phẩm sữa,11,2017,,72583.45
Sữa và sản phẩm sữa,12,2017,,80438.77
Rau quả,1,2017,,97055.84
Rau quả,2,2017,,66289.59
Rau quả,3,2017,,67468.22
Rau quả,4,2017,,85476.55
Rau quả,5,2017,,183214.85
Rau quả,6,2017,,136910.92
Rau quả,7,2017,,217420.46
Rau quả,8,2017,,164215.11
Rau quả,9,2017,,136658.31
Rau quả,10,2017,,110976.59
Rau quả,11,2017,,145724.04
Rau quả,12,2017,,136565.04
Hạt điều,1,2017,50.606,110012.41
Hạt điều,2,2017,49.364,103195.34
Hạt điều,3,2017,72.39,141953.41
Hạt điều,4,2017,100.328,190425.49
Hạt điều,5,2017,155.566,289837.06
Hạt điều,6,2017,252.519,473391.46
Hạt điều,7,2017,216.666,418868.44
Hạt điều,8,2017,169.752,347002.8
Hạt điều,9,2017,60.576,130334.54
Hạt điều,10,2017,55.265,119706.53
Hạt điều,11,2017,48.226,101931.67
Hạt điều,12,2017,64.995,147253.34
Lúa mỳ,1,2017,231.65,49000.17
Lúa mỳ,2,2017,367.615,72998.46
Lúa mỳ,3,2017,897.26,178530.3
Lúa mỳ,4,2017,255.749,55773.52
Lúa mỳ,5,2017,401.078,86153.7
Lúa mỳ,6,2017,421.481,87409.28
Lúa mỳ,7,2017,484.903,106959.89
Lúa mỳ,8,2017,319.257,67139.98
Lúa mỳ,9,2017,314.425,73951.1
Lúa mỳ,10,2017,344.021,77737.34
Lúa mỳ,11,2017,260.589,61924.33
Lúa mỳ,12,2017,366.0,76666.96
Ngô,1,2017,590.329,115920.11
Ngô,2,2017,628.524,128243.97
Ngô,3,2017,291.395,63350.32
Ngô,4,2017,761.964,155922.92
Ngô,5,2017,823.193,161815.46
Ngô,6,2017,541.631,105409.9
Ngô,7,2017,597.145,115228.31
Ngô,8,2017,586.589,112117.33
Ngô,9,2017,784.668,146887.85
Ngô,10,2017,841.235,157346.28
Ngô,11,2017,792.58,149548.94
Ngô,12,2017,487.192,92295.28
Đậu tương,1,2017,94.608,42385.49
Đậu tương,2,2017,116.246,50705.7
Đậu tương,3,2017,240.426,107571.77
Đậu tương,4,2017,158.826,69609.53
Đậu tương,5,2017,120.552,51422.16
Đậu tương,6,2017,194.138,79687.03
Đậu tương,7,2017,98.712,41202.86
Đậu tương,8,2017,162.441,67020.04
Đậu tương,9,2017,93.59,40728.12
Đậu tương,10,2017,96.508,40422.03
Đậu tương,11,2017,95.616,41925.32
Đậu tương,12,2017,174.38,75225.34
Dầu mỡ động thực vật,1,2017,,57163.48
Dầu mỡ động thực vật,2,2017,,71105.3
Dầu mỡ động thực vật,3,2017,,55604.91
Dầu mỡ động thực vật,4,2017,,49273.68
Dầu mỡ động thực vật,5,2017,,52122.56
Dầu mỡ động thực vật,6,2017,,64391.05
Dầu mỡ động thực vật,7,2017,,60831.03
Dầu mỡ động thực vật,8,2017,,60437.86
Dầu mỡ động thực vật,9,2017,,71951.68
Dầu mỡ động thực vật,10,2017,,73640.75
Dầu mỡ động thực vật,11,2017,,72179.54
Dầu mỡ động thực vật,12,2017,,72250.31
Bánh kẹo và các sản phẩm từ ngũ cốc,1,2017,,17162.86
Bánh kẹo và các sản phẩm từ ngũ cốc,2,2017,,18306.46
Bánh kẹo và các sản phẩm từ ngũ cốc,3,2017,,20158.64
Bánh kẹo và các sản phẩm từ ngũ cốc,4,2017,,17629.18
Bánh kẹo và các sản phẩm từ ngũ cốc,5,2017,,22956.6
Bánh kẹo và các sản phẩm từ ngũ cốc,6,2017,,19468.78
Bánh kẹo và các sản phẩm từ ngũ cốc,7,2017,,19821.12
Bánh kẹo và các sản phẩm từ ngũ cốc,8,2017,,23812.36
Bánh kẹo và các sản phẩm từ ngũ cốc,9,2017,,26236.56
Bánh kẹo và các sản phẩm từ ngũ cốc,10,2017,,33097.33
Bánh kẹo và các sản phẩm từ ngũ cốc,11,2017,,43375.65
Bánh kẹo và các sản phẩm từ ngũ cốc,12,2017,,40516.94
Chế phẩm thực phẩm khác,1,2017,,37852.45
Chế phẩm thực phẩm khác,2,2017,,61668.4
Chế phẩm thực phẩm khác,3,2017,,56617.98
Chế phẩm thực phẩm khác,4,2017,,41480.39
Chế phẩm thực phẩm khác,5,2017,,58549.88
Chế phẩm thực phẩm khác,6,2017,,55335.78
Chế phẩm thực phẩm khác,7,2017,,55811.33
Chế phẩm thực phẩm khác,8,2017,,53706.6
Chế phẩm thực phẩm khác,9,2017,,47419.51
Chế phẩm thực phẩm khác,10,2017,,50373.66
Chế phẩm thực phẩm khác,11,2017,,56245.79
Chế phẩm thực phẩm khác,12,2017,,54536.1
Thức ăn gia súc và NPL,1,2017,,260538.57
Thức ăn gia súc và NPL,2,2017,,352645.48
Thức ăn gia súc và NPL,3,2017,,308502.06
Thức ăn gia súc và NPL,4,2017,,265766.68
Thức ăn gia súc và NPL,5,2017,,254865.12
Thức ăn gia súc và NPL,6,2017,,329415.91
Thức ăn gia súc và NPL,7,2017,,216844.72
Thức ăn gia súc và NPL,8,2017,,231504.02
Thức ăn gia súc và NPL,9,2017,,254768.15
Thức ăn gia súc và NPL,10,2017,,251193.19
Thức ăn gia súc và NPL,11,2017,,258993.03
Thức ăn gia súc và NPL,12,2017,,242750.08
Nguyên phụ liệu thuốc lá,1,2017,,8098.64
Nguyên phụ liệu thuốc lá,2,2017,,28397.01
Nguyên phụ liệu thuốc lá,3,2017,,22203.14
Nguyên phụ liệu thuốc lá,4,2017,,24134.4
Nguyên phụ liệu thuốc lá,5,2017,,33468.13
Nguyên phụ liệu thuốc lá,6,2017,,31574.55
Nguyên phụ liệu thuốc lá,7,2017,,33810.21
Nguyên phụ liệu thuốc lá,8,2017,,25958.24
Nguyên phụ liệu thuốc lá,9,2017,,25000.0
Nguyên phụ liệu thuốc lá,10,2017,,30000.0
Nguyên phụ liệu thuốc lá,11,2017,,30787.49
Nguyên phụ liệu thuốc lá,12,2017,,36363.46
Quặng và khoáng sản khác,1,2017,,29536.54
Quặng và khoáng sản khác,2,2017,,30978.34
Quặng và khoáng sản khác,3,2017,,47261.35
Quặng và khoáng sản khác,4,2017,,41159.56
Quặng và khoáng sản khác,5,2017,,50965.98
Quặng và khoáng sản khác,6,2017,,61992.35
Quặng và khoáng sản khác,7,2017,,84886.17
Quặng và khoáng sản khác,8,2017,,87083.54
Quặng và khoáng sản khác,9,2017,,51000.0
Quặng và khoáng sản khác,10,2017,,72359.87
Quặng và khoáng sản khác,11,2017,,80104.61
Quặng và khoáng sản khác,12,2017,,50852.42
Than đá,1,2017,485.101,47324.26
Than đá,2,2017,1167.525,148164.65
Than đá,3,2017,1997.622,217047.88
Than đá,4,2017,975.078,85299.83
Than đá,5,2017,1005.045,82832.06
Than đá,6,2017,860.832,78241.72
Than đá,7,2017,1543.425,148464.49
Than đá,8,2017,1412.337,138097.52
Than đá,9,2017,971.433,89420.54
Than đá,10,2017,1239.161,158577.88
Than đá,11,2017,1433.548,172828.47
Than đá,12,2017,1585.937,167794.88
Dầu thô,2,2017,220.0,105000.0
Dầu thô,4,2017,228.0,113000.0
Dầu thô,8,2017,621.727,226049.77
Dầu thô,9,2017,230.0,106000.0
Dầu thô,11,2017,211.0,95000.0
Xăng dầu,1,2017,902.3717583333332,501259.83
Xăng dầu,2,2017,822.6417583333334,444329.54
Xăng dầu,3,2017,1293.6717583333332,667755.39
Xăng dầu,4,2017,1056.2567583333334,538424.47
Xăng dầu,5,2017,1101.0947583333332,540017.95
Xăng dầu,6,2017,1363.4357583333333,648078.55
Xăng dầu,7,2017,1197.4177583333333,606877.92
Xăng dầu,8,2017,1125.2047583333333,595962.94
Xăng dầu,9,2017,959.8007583333334,527197.64
Xăng dầu,10,2017,1141.4770680555548,614011.99
Xăng dầu,11,2017,1140.6907583333332,676809.29
Xăng dầu,12,2017,1263.0,752000.0
Khí đốt hóa lỏng,1,2017,103.772,52910.62
Khí đốt hóa lỏng,2,2017,89.471,53084.55
Khí đốt hóa lỏng,3,2017,116.621,65436.32
Khí đốt hóa lỏng,4,2017,106.586,49498.71
Khí đốt hóa lỏng,5,2017,100.46,44334.72
Khí đốt hóa lỏng,6,2017,133.222,56300.22
Khí đốt hóa lỏng,7,2017,166.56,70766.8
Khí đốt hóa lỏng,8,2017,127.902,64676.07
Khí đốt hóa lỏng,9,2017,138.538,77787.95
Khí đốt hóa lỏng,10,2017,52.23,33666.82
Khí đốt hóa lỏng,11,2017,160.794,98939.31
Khí đốt hóa lỏng,12,2017,67.351,43650.97
Sản phẩm khác từ dầu mỏ,1,2017,,90000.0
Sản phẩm khác từ dầu mỏ,2,2017,,82000.0
Sản phẩm khác từ dầu mỏ,3,2017,,90000.0
Sản phẩm khác từ dầu mỏ,4,2017,,95000.0
Sản phẩm khác từ dầu mỏ,5,2017,,96000.0
Sản phẩm khác từ dầu mỏ,6,2017,,94000.0
Sản phẩm khác từ dầu mỏ,7,2017,,97000.0
Sản phẩm khác từ dầu mỏ,8,2017,,98000.0
Sản phẩm khác từ dầu mỏ,9,2017,,96000.0
Sản phẩm khác từ dầu mỏ,10,2017,,97000.0
Sản phẩm khác từ dầu mỏ,11,2017,,95000.0
