Mặt hàng,Tháng,Năm,Lượng,Trị Giá
Bánh kẹo và các sản phẩm từ ngũ cốc,1,2017,,39272.25
Bánh kẹo và các sản phẩm từ ngũ cốc,2,2017,,38399.86
Bánh kẹo và các sản phẩm từ ngũ cốc,3,2017,,50472.56
Bánh kẹo và các sản phẩm từ ngũ cốc,4,2017,,48267.79
Bánh kẹo và các sản phẩm từ ngũ cốc,5,2017,,49168.0
Bánh kẹo và các sản phẩm từ ngũ cốc,6,2017,,49032.74
Bánh kẹo và các sản phẩm từ ngũ cốc,7,2017,,47625.61
Bánh kẹo và các sản phẩm từ ngũ cốc,8,2017,,51078.47
Bánh kẹo và các sản phẩm từ ngũ cốc,9,2017,,52055.46
Bánh kẹo và các sản phẩm từ ngũ cốc,10,2017,,55963.74
Bánh kẹo và các sản phẩm từ ngũ cốc,11,2017,,55899.61
Bánh kẹo và các sản phẩm từ ngũ cốc,12,2017,,58064.58
Bánh kẹo và các sản phẩm từ ngũ cốc,1,2018,,54557.3
Bánh kẹo và các sản phẩm từ ngũ cốc,2,2018,,35334.03
Bánh kẹo và các sản phẩm từ ngũ cốc,3,2018,,58712.41
Bánh kẹo và các sản phẩm từ ngũ cốc,4,2018,,52863.75
Bánh kẹo và các sản phẩm từ ngũ cốc,5,2018,,54803.15
Bánh kẹo và các sản phẩm từ ngũ cốc,6,2018,,54429.57
Bánh kẹo và các sản phẩm từ ngũ cốc,7,2018,,48770.85
Bánh kẹo và các sản phẩm từ ngũ cốc,8,2018,,60155.12
Bánh kẹo và các sản phẩm từ ngũ cốc,9,2018,,54978.11
Bánh kẹo và các sản phẩm từ ngũ cốc,10,2018,,61644.41
Bánh kẹo và các sản phẩm từ ngũ cốc,11,2018,,62622.2
Bánh kẹo và các sản phẩm từ ngũ cốc,12,2018,,60161.08
Bánh kẹo và các sản phẩm từ ngũ cốc,1,2019,,64675.25
Bánh kẹo và các sản phẩm từ ngũ cốc,2,2019,,33883.12
Bánh kẹo và các sản phẩm từ ngũ cốc,3,2019,,61667.82
Bánh kẹo và các sản phẩm từ ngũ cốc,4,2019,,55884.13
Bánh kẹo và các sản phẩm từ ngũ cốc,5,2019,,60349.04
Bánh kẹo và các sản phẩm từ ngũ cốc,6,2019,,53197.92
Bánh kẹo và các sản phẩm từ ngũ cốc,7,2019,,60126.25
